1;2;14
2;3;14
2;4;34
4;5;11
4;6;17
3;6;28
3;7;28
7;20;34
6;8;14
8;9;11
8;10;6
10;11;8
10;13;14
13;12;8
13;14;6
10;2;14
7;14;42
19;20;11
20;21;14
21;22;8
11;17;14
12;15;8
15;16;6
16;17;8
17;18;17
16;18;11
14;30;20
21;30;8
22;29;8
29;30;8
15;30;17
22;23;8
23;27;17
29;27;6
30;34;22
18;34;11
23;24;3
23;25;11
25;28;17
27;28;8
25;26;11
24;26;34
26;39;11
39;48;14
48;37;22
28;37;20
37;35;11
35;34;17
39;40;14
40;41;8
41;42;6
41;49;3
49;39;8
48;49;8
42;48;8
42;43;6
42;47;8
43;36;14
36;37;8
35;36;8
35;33;17
34;33;17
32;33;17
18;32;20
31;32;20
17;31;20
42;44;6
44;46;6
46;47;6
44;45;6
45;46;6
39;51;59
51;52;17
40;52;53
47;50;11
36;50;22
53;52;28
57;53;31
57;58;17
45;58;45
53;54;20
54;56;20
56;57;8
54;55;20
55;56;14
56;59;31
59;77;20
58;77;22
50;77;48
55;60;31
60;65;11
65;66;11
66;67;25
59;67;14
60;61;28
61;63;25
60;63;20
63;62;20
63;64;20
64;65;14
64;66;14
64;68;28
67;68;17
68;69;14
67;70;14
68;70;22
71;77;42
70;71;20
71;73;8
73;75;6
75;76;51
76;79;14
78;79;17
71;78;45
77;78;25
72;73;17
73;74;14
50;78;39
79;80;6
80;36;39
33;81;31
80;81;11
81;82;8
82;83;14
32;83;14
31;87;17
32;87;20
83;87;25
82;84;22
84;85;11
84;86;34
86;87;48
87;88;22
87;89;28
87;90;37
86;90;28
86;91;17
91;92;17
90;92;8
92;93;17
93;95;14
93;94;8
94;95;17
94;96;14
95;97;14
